Category: All categories

Day,AMD: (Worldwide)
2020-01-01,61
2020-01-02,79
2020-01-03,80
2020-01-04,73
2020-01-05,69
2020-01-06,77
2020-01-07,87
2020-01-08,81
2020-01-09,82
2020-01-10,79
2020-01-11,70
2020-01-12,73
2020-01-13,73
2020-01-14,72
2020-01-15,77
2020-01-16,74
2020-01-17,74
2020-01-18,68
2020-01-19,69
2020-01-20,67
2020-01-21,74
2020-01-22,70
2020-01-23,75
2020-01-24,73
2020-01-25,67
2020-01-26,62
2020-01-27,71
2020-01-28,82
2020-01-29,87
2020-01-30,76
2020-01-31,71
2020-02-01,71
2020-02-02,62
2020-02-03,69
2020-02-04,71
2020-02-05,74
2020-02-06,73
2020-02-07,72
2020-02-08,69
2020-02-09,63
2020-02-10,73
2020-02-11,80
2020-02-12,76
2020-02-13,76
2020-02-14,68
2020-02-15,62
2020-02-16,62
2020-02-17,66
2020-02-18,73
2020-02-19,76
2020-02-20,76
2020-02-21,75
2020-02-22,70
2020-02-23,64
2020-02-24,78
2020-02-25,77
2020-02-26,76
2020-02-27,73
2020-02-28,76
2020-02-29,74
2020-03-01,63
2020-03-02,75
2020-03-03,75
2020-03-04,74
2020-03-05,75
2020-03-06,78
2020-03-07,68
2020-03-08,63
2020-03-09,73
2020-03-10,73
2020-03-11,70
2020-03-12,75
2020-03-13,77
2020-03-14,72
2020-03-15,66
2020-03-16,72
2020-03-17,72
2020-03-18,80
2020-03-19,76
2020-03-20,77
2020-03-21,75
2020-03-22,73
2020-03-23,74
2020-03-24,78
2020-03-25,77
2020-03-26,77
2020-03-27,81
2020-03-28,76
2020-03-29,76
2020-03-30,81
2020-03-31,80
2020-04-01,80
2020-04-02,83
2020-04-03,83
2020-04-04,82
2020-04-05,78
2020-04-06,83
2020-04-07,80
2020-04-08,80
2020-04-09,80
2020-04-10,79
2020-04-11,78
2020-04-12,81
2020-04-13,85
2020-04-14,90
2020-04-15,90
2020-04-16,90
2020-04-17,91
2020-04-18,86
2020-04-19,85
2020-04-20,88
2020-04-21,89
2020-04-22,89
2020-04-23,94
2020-04-24,87
2020-04-25,89
2020-04-26,87
2020-04-27,91
2020-04-28,100
2020-04-29,96
2020-04-30,89
2020-05-01,93
2020-05-02,94
2020-05-03,88
2020-05-04,90
2020-05-05,94
2020-05-06,88
2020-05-07,89
2020-05-08,94
2020-05-09,90
2020-05-10,84
2020-05-11,91
2020-05-12,91
2020-05-13,90
2020-05-14,91
2020-05-15,88
2020-05-16,92
2020-05-17,92
2020-05-18,90
2020-05-19,92
2020-05-20,92
2020-05-21,94
2020-05-22,97
2020-05-23,90
2020-05-24,92
2020-05-25,89
2020-05-26,89
2020-05-27,92
2020-05-28,93
2020-05-29,91
2020-05-30,90
2020-05-31,81
2020-06-01,78
2020-06-02,84
2020-06-03,86
2020-06-04,88
2020-06-05,89
2020-06-06,86
2020-06-07,84
2020-06-08,89
2020-06-09,90
2020-06-10,98
2020-06-11,93
2020-06-12,92
2020-06-13,86
2020-06-14,82
2020-06-15,88
2020-06-16,88
2020-06-17,89
2020-06-18,86
2020-06-19,86
2020-06-20,81
2020-06-21,81
2020-06-22,86
2020-06-23,85
2020-06-24,83
2020-06-25,80
2020-06-26,89
2020-06-27,87
2020-06-28,86
2020-06-29,85
2020-06-30,84
