Category: All categories

Day,Nvidia: (Worldwide)
2020-01-01,65
2020-01-02,64
2020-01-03,68
2020-01-04,62
2020-01-05,62
2020-01-06,66
2020-01-07,73
2020-01-08,66
2020-01-09,68
2020-01-10,67
2020-01-11,68
2020-01-12,62
2020-01-13,64
2020-01-14,67
2020-01-15,66
2020-01-16,70
2020-01-17,71
2020-01-18,76
2020-01-19,80
2020-01-20,75
2020-01-21,78
2020-01-22,73
2020-01-23,70
2020-01-24,73
2020-01-25,76
2020-01-26,63
2020-01-27,68
2020-01-28,77
2020-01-29,75
2020-01-30,78
2020-01-31,75
2020-02-01,70
2020-02-02,70
2020-02-03,73
2020-02-04,76
2020-02-05,82
2020-02-06,82
2020-02-07,79
2020-02-08,84
2020-02-09,74
2020-02-10,72
2020-02-11,75
2020-02-12,75
2020-02-13,81
2020-02-14,83
2020-02-15,75
2020-02-16,70
2020-02-17,77
2020-02-18,78
2020-02-19,77
2020-02-20,81
2020-02-21,80
2020-02-22,77
2020-02-23,80
2020-02-24,74
2020-02-25,78
2020-02-26,73
2020-02-27,73
2020-02-28,80
2020-02-29,81
2020-03-01,73
2020-03-02,74
2020-03-03,71
2020-03-04,70
2020-03-05,68
2020-03-06,75
2020-03-07,74
2020-03-08,66
2020-03-09,71
2020-03-10,72
2020-03-11,72
2020-03-12,76
2020-03-13,73
2020-03-14,83
2020-03-15,83
2020-03-16,77
2020-03-17,76
2020-03-18,73
2020-03-19,77
2020-03-20,88
2020-03-21,84
2020-03-22,82
2020-03-23,81
2020-03-24,78
2020-03-25,80
2020-03-26,80
2020-03-27,81
2020-03-28,86
2020-03-29,83
2020-03-30,82
2020-03-31,72
2020-04-01,78
2020-04-02,80
2020-04-03,77
2020-04-04,84
2020-04-05,82
2020-04-06,80
2020-04-07,80
2020-04-08,80
2020-04-09,77
2020-04-10,79
2020-04-11,76
2020-04-12,78
2020-04-13,78
2020-04-14,74
2020-04-15,83
2020-04-16,82
2020-04-17,82
2020-04-18,81
2020-04-19,86
2020-04-20,82
2020-04-21,79
2020-04-22,84
2020-04-23,81
2020-04-24,78
2020-04-25,81
2020-04-26,77
2020-04-27,79
2020-04-28,81
2020-04-29,83
2020-04-30,83
2020-05-01,86
2020-05-02,88
2020-05-03,80
2020-05-04,75
2020-05-05,82
2020-05-06,76
2020-05-07,78
2020-05-08,81
2020-05-09,79
2020-05-10,81
2020-05-11,80
2020-05-12,78
2020-05-13,80
2020-05-14,97
2020-05-15,100
2020-05-16,88
2020-05-17,90
2020-05-18,87
2020-05-19,87
2020-05-20,84
2020-05-21,93
2020-05-22,94
2020-05-23,88
2020-05-24,93
2020-05-25,87
2020-05-26,86
2020-05-27,86
2020-05-28,88
2020-05-29,89
2020-05-30,84
2020-05-31,79
2020-06-01,76
2020-06-02,79
2020-06-03,84
2020-06-04,82
2020-06-05,81
2020-06-06,81
2020-06-07,81
2020-06-08,80
2020-06-09,81
2020-06-10,81
2020-06-11,81
2020-06-12,78
2020-06-13,84
2020-06-14,82
2020-06-15,77
2020-06-16,83
2020-06-17,81
2020-06-18,75
2020-06-19,77
2020-06-20,77
2020-06-21,81
2020-06-22,76
2020-06-23,76
2020-06-24,80
2020-06-25,80
2020-06-26,79
2020-06-27,76
2020-06-28,74
2020-06-29,73
2020-06-30,73
