Category: All categories

Day,AMD: (Worldwide)
2020-07-01,54
2020-07-02,54
2020-07-03,53
2020-07-04,51
2020-07-05,50
2020-07-06,52
2020-07-07,52
2020-07-08,54
2020-07-09,56
2020-07-10,55
2020-07-11,51
2020-07-12,49
2020-07-13,55
2020-07-14,53
2020-07-15,51
2020-07-16,53
2020-07-17,54
2020-07-18,53
2020-07-19,51
2020-07-20,57
2020-07-21,58
2020-07-22,62
2020-07-23,60
2020-07-24,73
2020-07-25,64
2020-07-26,56
2020-07-27,62
2020-07-28,73
2020-07-29,80
2020-07-30,66
2020-07-31,63
2020-08-01,51
2020-08-02,52
2020-08-03,55
2020-08-04,66
2020-08-05,63
2020-08-06,60
2020-08-07,58
2020-08-08,49
2020-08-09,53
2020-08-10,56
2020-08-11,58
2020-08-12,58
2020-08-13,58
2020-08-14,54
2020-08-15,54
2020-08-16,50
2020-08-17,54
2020-08-18,55
2020-08-19,55
2020-08-20,57
2020-08-21,58
2020-08-22,54
2020-08-23,51
2020-08-24,55
2020-08-25,59
2020-08-26,55
2020-08-27,56
2020-08-28,57
2020-08-29,52
2020-08-30,54
2020-08-31,58
2020-09-01,66
2020-09-02,69
2020-09-03,64
2020-09-04,65
2020-09-05,58
2020-09-06,58
2020-09-07,65
2020-09-08,66
2020-09-09,65
2020-09-10,64
2020-09-11,57
2020-09-12,53
2020-09-13,50
2020-09-14,61
2020-09-15,57
2020-09-16,56
2020-09-17,55
2020-09-18,56
2020-09-19,54
2020-09-20,52
2020-09-21,52
2020-09-22,55
2020-09-23,54
2020-09-24,55
2020-09-25,51
2020-09-26,50
2020-09-27,47
2020-09-28,49
2020-09-29,56
2020-09-30,51
2020-10-01,52
2020-10-02,55
2020-10-03,51
2020-10-04,47
2020-10-05,53
2020-10-06,54
2020-10-07,56
2020-10-08,81
2020-10-09,73
2020-10-10,56
2020-10-11,50
2020-10-12,56
2020-10-13,57
2020-10-14,55
2020-10-15,53
2020-10-16,53
2020-10-17,50
2020-10-18,49
2020-10-19,51
2020-10-20,54
2020-10-21,52
2020-10-22,53
2020-10-23,52
2020-10-24,48
2020-10-25,47
2020-10-26,57
2020-10-27,72
2020-10-28,100
2020-10-29,78
2020-10-30,65
2020-10-31,56
2020-11-01,55
2020-11-02,59
2020-11-03,58
2020-11-04,52
2020-11-05,69
2020-11-06,62
2020-11-07,55
2020-11-08,56
2020-11-09,63
2020-11-10,65
2020-11-11,65
2020-11-12,63
2020-11-13,59
2020-11-14,57
2020-11-15,55
2020-11-16,63
2020-11-17,65
2020-11-18,81
2020-11-19,66
2020-11-20,61
2020-11-21,57
2020-11-22,57
2020-11-23,63
2020-11-24,61
2020-11-25,62
2020-11-26,61
2020-11-27,70
2020-11-28,60
2020-11-29,55
2020-11-30,62
2020-12-01,57
2020-12-02,54
2020-12-03,56
2020-12-04,55
2020-12-05,56
2020-12-06,50
2020-12-07,54
2020-12-08,58
2020-12-09,56
2020-12-10,58
2020-12-11,57
2020-12-12,55
2020-12-13,57
2020-12-14,61
2020-12-15,59
2020-12-16,58
2020-12-17,55
2020-12-18,50
2020-12-19,51
2020-12-20,51
2020-12-21,53
2020-12-22,55
2020-12-23,49
2020-12-24,51
2020-12-25,53
2020-12-26,55
2020-12-27,53
2020-12-28,54
2020-12-29,55
2020-12-30,53
2020-12-31,48
